NO_OF_FRAMES	1276
NO_OF_CAMERAS	10
NO_OF_MARKERS	40
FREQUENCY	72
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-08-30, 18:16:39	1348966.65231789
DATA_INCLUDED	3D
MARKER_NAMES	A3	A1	A2	B3	B1	B2	F2	F1	F3	G3	G1	G2	G4	H3	H2	H1	H4	J3	J2	J1	K4	K2	K1	K3	E1	E3	E2	C1	C3	C2	C4	L5	L3	L4	L2	L1	D3	D1	D4	D2
A3 X	A3 Y	A3 Z	A1 X	A1 Y	A1 Z	A2 X	A2 Y	A2 Z	B3 X	B3 Y	B3 Z	B1 X	B1 Y	B1 Z	B2 X	B2 Y	B2 Z	F2 X	F2 Y	F2 Z	F1 X	F1 Y	F1 Z	F3 X	F3 Y	F3 Z	G3 X	G3 Y	G3 Z	G1 X	G1 Y	G1 Z	G2 X	G2 Y	G2 Z	G4 X	G4 Y	G4 Z	H3 X	H3 Y	H3 Z	H2 X	H2 Y	H2 Z	H1 X	H1 Y	H1 Z	H4 X	H4 Y	H4 Z	J3 X	J3 Y	J3 Z	J2 X	J2 Y	J2 Z	J1 X	J1 Y	J1 Z	K4 X	K4 Y	K4 Z	K2 X	K2 Y	K2 Z	K1 X	K1 Y	K1 Z	K3 X	K3 Y	K3 Z	E1 X	E1 Y	E1 Z	E3 X	E3 Y	E3 Z	E2 X	E2 Y	E2 Z	C1 X	C1 Y	C1 Z	C3 X	C3 Y	C3 Z	C2 X	C2 Y	C2 Z	C4 X	C4 Y	C4 Z	L5 X	L5 Y	L5 Z	L3 X	L3 Y	L3 Z	L4 X	L4 Y	L4 Z	L2 X	L2 Y	L2 Z	L1 X	L1 Y	L1 Z	D3 X	D3 Y	D3 Z	D1 X	D1 Y	D1 Z	D4 X	D4 Y	D4 Z	D2 X	D2 Y	D2 Z	
-2861.854	1137.118	139.215	-2844.816	1336.375	154.878	-2795.184	1232.051	145.863	-2876.885	305.839	134.130	-2869.712	506.270	137.981	-2815.483	403.629	135.529	-4177.989	482.369	129.245	-4113.232	577.689	123.952	-4127.368	378.276	138.229	-2754.844	753.918	328.236	-2917.762	998.895	331.664	-2749.708	883.144	330.083	-2933.419	647.139	327.056	-3287.630	720.349	527.638	-3277.219	953.388	520.137	-3060.125	922.386	518.115	0.000	0.000	0.000	-3628.741	855.699	572.442	0.000	0.000	0.000	0.000	0.000	0.000	-3685.161	744.352	528.168	-3881.945	973.663	539.882	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.284	1356.596	155.424	-3510.015	1167.095	143.380	0.000	0.000	0.000	0.000	0.000	0.000	-4139.116	660.871	350.131	-4137.470	895.521	356.876	-4224.393	764.845	353.586	-4211.914	1040.215	364.135	0.000	0.000	0.000	-3570.888	346.579	132.318	-3431.934	534.775	133.152	-3448.057	335.183	146.611	0.000	0.000	0.000
-2861.875	1137.058	139.376	-2844.792	1336.168	154.911	-2795.192	1232.073	146.095	-2877.010	305.400	133.850	-2869.859	506.022	137.672	-2815.664	403.330	135.270	-4177.966	482.227	129.109	-4113.150	577.588	123.955	-4127.409	378.280	138.361	-2754.821	753.702	328.410	-2917.865	998.904	331.813	-2749.720	882.901	330.125	-2933.502	646.812	326.761	-3287.771	720.112	527.465	-3277.181	953.029	520.063	-3059.937	921.996	518.277	0.000	0.000	0.000	-3629.215	855.402	572.955	0.000	0.000	0.000	0.000	0.000	0.000	-3685.079	744.155	528.061	-3882.075	973.273	540.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3359.244	1357.875	153.879	-3509.896	1166.630	143.227	0.000	0.000	0.000	0.000	0.000	0.000	-4139.178	660.862	350.134	-4137.636	895.662	356.861	-4224.497	764.823	353.938	-4212.350	1039.877	364.237	0.000	0.000	0.000	-3571.137	346.731	132.314	-3431.967	534.528	133.028	-3448.224	335.304	146.559	0.000	0.000	0.000
-2861.759	1137.005	139.502	-2844.753	1336.054	155.002	-2795.061	1231.931	146.248	-2877.030	305.359	133.700	-2869.054	507.502	136.413	-2815.816	403.345	135.028	-4177.975	482.331	129.118	-4112.939	577.625	124.205	-4127.457	378.306	138.278	-2754.751	753.716	328.549	-2917.674	998.728	331.783	-2749.668	882.772	330.136	-2933.654	646.831	326.530	-3288.353	720.374	527.158	-3276.963	952.743	519.813	-3059.791	921.762	518.471	0.000	0.000	0.000	-3629.419	855.206	573.247	0.000	0.000	0.000	0.000	0.000	0.000	-3685.141	743.987	528.014	-3882.030	973.112	540.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.250	1356.162	155.311	-3509.850	1166.435	143.184	0.000	0.000	0.000	0.000	0.000	0.000	-4139.165	660.755	350.123	-4137.480	895.484	356.972	-4224.490	764.595	353.880	-4212.131	1039.620	363.738	0.000	0.000	0.000	-3571.026	346.671	132.250	-3431.520	534.436	133.148	-3447.933	335.115	146.624	0.000	0.000	0.000
-2861.749	1137.070	139.503	-2844.748	1336.169	155.012	-2795.133	1232.102	146.285	-2877.014	305.525	133.689	-2869.112	507.634	136.479	-2815.568	403.542	135.323	-4178.044	482.122	128.942	-4112.941	577.626	124.206	-4127.353	378.274	138.239	-2754.728	753.806	328.546	-2917.720	998.905	331.958	-2749.701	882.971	330.098	-2933.445	646.951	326.751	-3287.759	720.080	527.467	-3277.230	953.103	520.009	-3059.816	921.847	518.477	0.000	0.000	0.000	-3629.220	855.469	572.644	0.000	0.000	0.000	0.000	0.000	0.000	-3685.096	744.089	527.880	-3881.948	973.319	539.761	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.450	1356.400	155.324	-3509.999	1166.698	143.143	0.000	0.000	0.000	0.000	0.000	0.000	-4139.179	660.728	349.983	-4137.449	895.250	356.499	-4224.293	764.712	353.539	-4211.953	1040.203	364.115	0.000	0.000	0.000	-3570.889	346.656	132.223	-3431.951	534.604	132.986	-3448.197	335.285	146.557	0.000	0.000	0.000
-2861.810	1137.169	139.384	-2844.874	1336.381	155.012	-2795.094	1232.063	145.994	-2876.948	305.888	134.068	-2869.872	506.295	137.859	-2815.614	403.680	135.409	-4177.989	482.340	128.955	-4112.958	577.650	124.144	-4127.391	378.404	138.264	-2754.816	753.996	328.458	-2917.765	999.021	331.801	-2749.743	883.245	330.160	-2933.317	647.267	327.110	-3287.857	720.327	527.512	-3277.372	953.396	520.181	-3060.130	922.266	518.389	0.000	0.000	0.000	-3629.054	855.638	572.836	0.000	0.000	0.000	0.000	0.000	0.000	-3685.187	744.416	527.917	-3882.084	973.658	540.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.410	1356.587	155.436	-3510.112	1167.115	143.414	0.000	0.000	0.000	0.000	0.000	0.000	-4139.106	660.728	349.970	-4137.405	895.520	356.776	-4224.334	764.907	353.507	-4212.061	1040.116	364.222	0.000	0.000	0.000	-3570.978	346.773	132.238	-3429.451	534.050	134.323	-3447.923	335.232	146.525	0.000	0.000	0.000
-2861.886	1137.216	139.246	-2844.817	1336.378	154.904	-2795.145	1232.036	145.854	-2876.897	305.916	134.201	-2869.691	506.263	138.130	-2815.530	403.699	135.559	-4177.946	482.202	129.092	-4112.859	577.639	124.218	-4127.238	378.295	138.316	-2754.857	753.879	328.379	-2917.764	998.873	331.699	-2749.721	883.309	330.190	-2933.291	647.265	327.242	-3287.669	720.498	527.483	-3277.276	953.569	520.155	-3060.186	922.434	518.167	0.000	0.000	0.000	-3629.092	855.863	572.826	0.000	0.000	0.000	0.000	0.000	0.000	-3685.165	744.507	528.019	-3882.010	973.782	540.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.452	1356.703	155.489	-3510.028	1167.292	143.441	0.000	0.000	0.000	0.000	0.000	0.000	-4139.110	660.804	350.022	-4137.619	895.600	356.859	-4224.047	764.715	353.552	-4211.761	1040.303	364.309	0.000	0.000	0.000	-3570.973	346.732	132.258	-3429.666	534.167	134.220	-3448.129	335.346	146.579	0.000	0.000	0.000
-2861.879	1137.097	139.346	-2844.815	1336.249	154.962	-2795.193	1231.893	146.050	-2876.905	305.692	134.160	-2869.725	506.018	137.996	-2815.621	403.456	135.521	-4177.803	482.240	129.215	-4113.180	577.811	124.126	-4127.330	378.423	138.292	-2754.804	753.735	328.422	-2917.624	998.764	331.756	-2749.670	883.096	330.191	-2933.149	646.999	327.348	-3288.328	720.817	527.205	-3277.177	953.371	520.038	-3060.044	922.233	518.199	0.000	0.000	0.000	-3628.958	855.884	572.495	0.000	0.000	0.000	0.000	0.000	0.000	-3685.208	744.444	528.178	-3882.068	973.618	540.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.413	1356.593	155.518	-3509.885	1167.086	143.269	0.000	0.000	0.000	0.000	0.000	0.000	-4139.196	660.859	350.111	-4137.379	895.402	356.761	-4224.409	764.746	353.897	-4211.642	1040.364	364.457	0.000	0.000	0.000	-3570.776	346.626	132.358	-3429.148	533.904	134.390	-3448.240	335.306	146.622	0.000	0.000	0.000
-2861.766	1137.027	139.446	-2844.764	1336.076	155.007	-2795.120	1231.983	146.183	-2876.948	305.425	133.815	-2869.855	505.861	137.714	-2815.742	403.152	135.166	-4177.835	482.113	129.055	-4113.317	577.684	124.006	-4127.490	378.318	138.267	-2754.781	753.647	328.525	-2917.715	998.684	331.795	-2749.736	882.909	330.256	-2933.441	646.719	326.766	-3287.709	720.131	527.358	-3276.930	953.021	519.702	-3059.825	921.852	518.367	0.000	0.000	0.000	-3628.869	855.512	572.456	0.000	0.000	0.000	0.000	0.000	0.000	-3685.143	744.217	528.059	-3882.012	973.367	540.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.356	1356.364	155.359	-3509.924	1166.778	143.154	0.000	0.000	0.000	0.000	0.000	0.000	-4139.087	660.737	350.008	-4137.699	895.466	356.781	-4224.575	764.773	353.935	-4212.138	1039.938	364.147	0.000	0.000	0.000	-3571.031	346.646	132.283	-3431.676	534.412	133.082	-3447.925	335.116	146.557	0.000	0.000	0.000
-2861.804	1137.081	139.443	-2844.844	1336.207	154.983	-2795.142	1232.084	146.285	-2877.062	305.498	133.512	-2869.162	507.579	136.378	-2815.764	403.259	134.890	-4178.069	482.185	128.876	-4113.271	577.672	123.810	-4127.278	378.190	138.180	-2754.771	753.755	328.509	-2917.565	998.652	331.738	-2749.658	882.965	330.107	-2933.612	646.763	326.498	-3287.706	719.977	527.332	-3277.203	953.017	519.853	-3059.681	921.655	518.381	0.000	0.000	0.000	-3629.378	855.360	573.101	0.000	0.000	0.000	0.000	0.000	0.000	-3685.066	744.092	527.887	-3882.232	973.251	540.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.426	1356.279	155.265	-3509.999	1166.490	143.041	0.000	0.000	0.000	0.000	0.000	0.000	-4139.304	660.840	350.047	-4137.759	895.637	356.766	-4224.355	764.736	353.516	-4212.389	1039.847	363.915	0.000	0.000	0.000	-3570.960	346.702	132.225	-3428.615	533.472	134.323	-3448.140	335.246	146.552	0.000	0.000	0.000
-2861.889	1137.304	139.515	-2844.795	1336.377	154.976	-2795.129	1232.161	146.153	-2877.041	305.851	133.861	-2869.154	507.904	136.488	-2815.538	403.790	135.455	-4178.061	482.275	128.881	-4113.280	577.628	123.816	-4127.420	378.321	138.039	-2754.879	754.025	328.601	-2917.723	999.023	331.931	-2749.749	883.146	330.142	-2933.241	647.355	327.045	-3287.860	720.192	527.592	-3277.302	953.200	520.149	-3059.937	922.071	518.433	0.000	0.000	0.000	-3629.185	855.398	572.806	0.000	0.000	0.000	0.000	0.000	0.000	-3685.173	744.130	528.040	-3882.207	973.405	540.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.528	1356.456	155.447	-3510.089	1166.890	143.343	0.000	0.000	0.000	0.000	0.000	0.000	-4138.974	660.830	349.962	-4137.392	895.389	356.730	-4224.295	764.696	353.508	-4211.937	1040.359	364.126	0.000	0.000	0.000	-3570.833	346.582	132.217	-3432.076	534.733	133.031	-3448.250	335.293	146.518	0.000	0.000	0.000
