NO_OF_FRAMES	905
NO_OF_CAMERAS	10
NO_OF_MARKERS	40
FREQUENCY	72
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-08-30, 18:44:51	1350659.19285559
DATA_INCLUDED	3D
MARKER_NAMES	A3	A1	A2	B1	B3	B2	G3	G1	G2	G4	C1	C4	C3	C2	D4	D2	D3	D1	E3	E2	E1	F1	F2	F3	L3	L2	L1	L4	L5	J2	J3	J1	H4	H1	H2	H3	K2	K4	K1	K3
A3 X	A3 Y	A3 Z	A1 X	A1 Y	A1 Z	A2 X	A2 Y	A2 Z	B1 X	B1 Y	B1 Z	B3 X	B3 Y	B3 Z	B2 X	B2 Y	B2 Z	G3 X	G3 Y	G3 Z	G1 X	G1 Y	G1 Z	G2 X	G2 Y	G2 Z	G4 X	G4 Y	G4 Z	C1 X	C1 Y	C1 Z	C4 X	C4 Y	C4 Z	C3 X	C3 Y	C3 Z	C2 X	C2 Y	C2 Z	D4 X	D4 Y	D4 Z	D2 X	D2 Y	D2 Z	D3 X	D3 Y	D3 Z	D1 X	D1 Y	D1 Z	E3 X	E3 Y	E3 Z	E2 X	E2 Y	E2 Z	E1 X	E1 Y	E1 Z	F1 X	F1 Y	F1 Z	F2 X	F2 Y	F2 Z	F3 X	F3 Y	F3 Z	L3 X	L3 Y	L3 Z	L2 X	L2 Y	L2 Z	L1 X	L1 Y	L1 Z	L4 X	L4 Y	L4 Z	L5 X	L5 Y	L5 Z	J2 X	J2 Y	J2 Z	J3 X	J3 Y	J3 Z	J1 X	J1 Y	J1 Z	H4 X	H4 Y	H4 Z	H1 X	H1 Y	H1 Z	H2 X	H2 Y	H2 Z	H3 X	H3 Y	H3 Z	K2 X	K2 Y	K2 Z	K4 X	K4 Y	K4 Z	K1 X	K1 Y	K1 Z	K3 X	K3 Y	K3 Z	
-1535.834	1944.781	148.506	-1514.022	2144.029	161.027	-1467.083	2037.138	152.904	-1555.733	1316.750	151.208	-1566.750	1115.181	147.112	-1503.450	1212.741	148.580	-1436.162	1562.270	338.463	-1594.340	1809.976	340.363	-1428.889	1689.205	337.764	-1612.761	1461.008	342.926	-2038.249	2167.444	161.823	-2065.277	1965.988	158.030	-2188.268	1982.893	155.690	-2161.708	2184.117	160.101	-2159.221	1150.588	155.530	-2259.896	1365.767	135.769	-2283.859	1163.637	149.663	-2136.848	1353.091	142.551	-2778.963	1997.661	154.384	-2842.947	2101.933	152.420	-2753.302	2235.140	243.183	-2800.951	1373.720	140.858	-2860.308	1277.156	146.532	-2806.482	1171.872	152.579	-2836.154	1696.285	376.484	-2911.328	1843.378	380.850	-2810.614	1934.880	380.856	-2921.997	1558.176	374.541	-2830.989	1456.234	370.998	-2150.359	1802.199	583.368	-2309.764	1676.697	591.830	-2006.723	1656.342	583.727	-1752.855	1544.403	538.411	-1741.263	1740.765	529.446	-1955.456	1772.075	533.729	-1968.799	1539.338	543.167	-2566.728	1784.975	560.316	-2363.478	1558.649	548.273	-2350.802	1791.844	550.284	-2577.104	1589.055	556.219
-1535.867	1944.755	148.464	-1514.064	2143.962	160.970	-1467.097	2037.043	152.731	-1555.745	1316.772	151.262	-1566.745	1115.209	147.115	-1503.417	1212.740	148.639	-1436.160	1562.284	338.500	-1594.333	1809.939	340.299	-1428.834	1689.213	337.812	-1612.765	1461.069	342.960	-2038.250	2167.240	161.567	-2065.278	1965.957	157.945	-2188.270	1982.792	155.471	-2161.701	2184.060	160.029	-2159.225	1150.573	155.497	-2259.974	1365.691	135.638	-2283.813	1163.570	149.534	-2136.839	1353.042	142.507	-2778.982	1997.521	154.374	-2843.138	2102.094	152.541	-2753.563	2235.170	243.067	-2801.016	1373.678	140.844	-2860.316	1277.196	146.532	-2806.581	1171.788	152.465	-2836.155	1696.416	376.465	-2911.368	1843.180	380.871	-2810.668	1934.877	380.822	-2922.023	1558.201	374.512	-2831.000	1456.312	370.817	-2150.379	1802.196	583.293	-2309.815	1676.704	591.876	-2006.670	1656.093	583.312	-1752.875	1544.419	538.402	-1741.274	1740.643	529.348	-1955.472	1772.084	533.647	-1968.816	1539.319	543.086	-2566.743	1785.005	560.304	-2363.435	1558.610	548.208	-2350.839	1791.791	550.200	-2577.143	1589.068	556.104
-1535.883	1944.871	148.305	-1514.004	2144.068	160.720	-1467.082	2037.031	152.471	-1555.691	1316.883	151.144	-1566.694	1115.339	147.017	-1503.392	1212.788	148.518	-1436.090	1562.368	338.389	-1594.309	1810.020	340.124	-1428.830	1689.352	337.653	-1612.700	1461.211	342.843	-2038.218	2167.276	161.297	-2065.318	1965.879	157.567	-2188.200	1982.887	155.377	-2161.742	2184.060	159.773	-2159.217	1150.640	155.267	-2259.866	1365.779	135.530	-2283.842	1163.683	149.302	-2136.856	1353.128	142.360	-2778.976	1997.560	154.128	-2843.299	2102.176	152.584	-2752.997	2235.598	243.073	-2800.949	1373.875	140.645	-2860.351	1277.371	146.333	-2806.562	1171.886	152.297	-2836.206	1696.550	376.373	-2911.182	1843.379	380.510	-2810.873	1935.259	380.728	-2922.007	1558.290	374.317	-2831.048	1456.453	370.772	-2150.382	1802.321	583.175	-2309.792	1676.903	591.798	-2006.708	1656.166	583.025	-1752.827	1544.562	538.238	-1741.234	1740.775	529.226	-1955.498	1772.227	533.551	-1968.847	1539.450	542.952	-2566.798	1785.178	560.167	-2363.471	1558.779	548.031	-2350.776	1791.933	550.236	-2577.188	1589.140	556.063
-1535.858	1945.038	148.332	-1514.030	2144.262	160.760	-1467.074	2037.122	152.449	-1555.728	1316.959	151.210	-1566.748	1115.397	146.990	-1503.432	1212.836	148.444	-1436.133	1562.452	338.440	-1594.276	1810.149	340.193	-1428.909	1689.349	337.487	-1612.741	1461.274	342.838	-2038.234	2167.524	161.530	-2065.281	1966.023	157.549	-2188.213	1983.031	155.387	-2161.744	2184.159	159.701	-2159.206	1150.891	155.314	-2259.848	1366.040	135.637	-2283.802	1163.881	149.294	-2136.748	1353.311	142.553	-2779.212	1997.892	154.123	-2843.320	2102.001	152.512	-2753.079	2235.537	243.097	-2801.018	1374.141	140.631	-2860.415	1277.377	146.202	-2806.602	1172.072	152.197	-2836.163	1696.782	376.327	-2911.349	1843.515	380.403	-2810.738	1935.063	380.448	-2921.971	1558.533	374.317	-2831.014	1456.699	370.763	-2150.356	1802.505	583.200	-2309.693	1677.013	591.836	-2006.776	1656.181	582.776	-1752.845	1544.610	538.203	-1741.237	1741.015	529.410	-1955.487	1772.371	533.606	-1968.758	1539.646	543.092	-2566.744	1785.286	560.178	-2363.474	1558.924	547.990	-2350.749	1792.036	550.292	-2577.046	1589.317	556.213
-1535.910	1945.097	148.603	-1514.088	2144.361	161.057	-1467.161	2037.290	152.783	-1555.781	1316.869	151.235	-1566.803	1115.365	147.060	-1503.515	1212.786	148.625	-1436.191	1562.455	338.559	-1594.386	1810.216	340.353	-1428.992	1689.312	337.587	-1612.790	1461.245	343.028	-2038.324	2167.567	161.749	-2065.349	1966.183	157.934	-2188.271	1983.219	155.806	-2161.807	2184.260	159.986	-2159.290	1151.019	155.650	-2259.994	1366.267	135.950	-2283.904	1164.026	149.640	-2136.807	1353.422	142.807	-2779.501	1998.108	154.441	-2843.202	2102.349	152.387	-2752.993	2235.592	243.088	-2801.167	1374.248	140.902	-2860.438	1277.297	146.260	-2806.673	1172.246	152.609	-2836.250	1696.683	376.558	-2911.354	1843.250	380.602	-2810.813	1935.178	380.566	-2922.001	1558.495	374.531	-2831.127	1456.679	370.985	-2150.400	1802.573	583.476	-2309.741	1677.095	592.032	-2006.743	1656.367	583.284	-1752.939	1544.638	538.343	-1741.302	1741.076	529.683	-1955.537	1772.407	533.737	-1968.775	1539.707	543.320	-2566.718	1785.262	560.268	-2363.572	1559.005	548.232	-2350.749	1792.027	550.462	-2577.106	1589.392	556.469
-1535.948	1944.978	148.565	-1514.097	2144.139	161.053	-1467.155	2037.234	152.922	-1555.730	1316.870	151.330	-1566.711	1115.316	147.168	-1503.445	1212.861	148.632	-1436.166	1562.440	338.545	-1594.358	1810.112	340.379	-1428.901	1689.308	337.776	-1612.747	1461.177	342.996	-2038.311	2167.490	161.854	-2065.313	1966.070	158.023	-2188.285	1983.100	155.783	-2161.763	2184.183	160.149	-2159.241	1150.849	155.643	-2259.947	1366.125	135.839	-2283.902	1163.878	149.698	-2136.836	1353.278	142.712	-2779.205	1997.891	154.444	-2843.367	2102.117	152.687	-2753.331	2235.135	243.125	-2801.096	1374.012	140.958	-2860.420	1277.245	146.507	-2806.594	1171.971	152.557	-2836.168	1696.471	376.563	-2911.154	1843.147	380.601	-2810.844	1935.017	380.849	-2922.013	1558.377	374.644	-2831.068	1456.506	370.984	-2150.421	1802.420	583.479	-2309.756	1676.915	591.934	-2006.702	1656.427	583.624	-1752.870	1544.571	538.413	-1741.285	1740.966	529.558	-1955.523	1772.271	533.757	-1968.803	1539.575	543.266	-2566.748	1785.133	560.322	-2363.525	1558.877	548.308	-2350.771	1791.962	550.386	-2577.150	1589.236	556.299
-1535.930	1944.850	148.446	-1514.068	2144.010	160.915	-1467.083	2037.090	152.758	-1555.695	1316.947	151.280	-1566.709	1115.332	147.172	-1503.373	1212.878	148.641	-1436.110	1562.448	338.425	-1594.347	1810.020	340.292	-1428.762	1689.363	337.891	-1612.699	1461.237	343.007	-2038.216	2167.435	161.847	-2065.263	1966.041	157.976	-2188.267	1982.859	155.491	-2161.744	2184.096	160.057	-2159.231	1150.636	155.472	-2259.993	1365.848	135.601	-2283.854	1163.637	149.445	-2136.898	1353.138	142.367	-2778.944	1997.564	154.376	-2843.584	2101.725	153.054	-2753.351	2235.251	243.133	-2801.061	1373.810	140.862	-2860.277	1277.126	146.521	-2806.633	1171.927	152.387	-2836.288	1696.455	376.558	-2911.165	1843.281	380.682	-2810.845	1935.146	380.972	-2922.077	1558.260	374.506	-2831.167	1456.427	370.912	-2150.396	1802.277	583.323	-2309.826	1676.793	591.763	-2006.651	1656.166	583.295	-1752.809	1544.562	538.380	-1741.370	1740.764	529.272	-1955.601	1772.199	533.651	-1968.899	1539.445	542.960	-2566.837	1785.104	560.295	-2363.526	1558.728	548.182	-2350.869	1791.831	550.144	-2577.246	1589.170	556.150
-1535.930	1944.884	148.354	-1514.083	2144.078	160.827	-1467.072	2037.139	152.669	-1555.757	1316.913	151.196	-1566.755	1115.315	147.065	-1503.457	1212.885	148.510	-1436.147	1562.425	338.432	-1594.387	1810.056	340.203	-1428.880	1689.385	337.742	-1612.756	1461.227	342.875	-2038.253	2167.324	161.498	-2065.305	1966.103	157.891	-2188.262	1982.985	155.577	-2161.733	2184.148	159.953	-2159.273	1150.665	155.353	-2259.993	1365.846	135.600	-2283.828	1163.650	149.345	-2136.897	1353.154	142.341	-2778.893	1997.552	154.214	-2843.622	2101.593	153.131	-2753.033	2235.531	243.088	-2800.986	1373.744	140.708	-2860.372	1277.248	146.496	-2806.663	1171.898	152.324	-2836.233	1696.503	376.388	-2911.261	1843.212	380.688	-2810.743	1935.229	380.768	-2922.057	1558.252	374.423	-2831.139	1456.464	370.809	-2150.433	1802.287	583.188	-2309.865	1676.809	591.614	-2006.674	1656.416	583.587	-1752.875	1544.576	538.300	-1741.338	1740.796	529.184	-1955.523	1772.150	533.588	-1968.881	1539.448	542.881	-2566.807	1785.115	560.156	-2363.576	1558.725	548.074	-2350.858	1791.873	550.101	-2577.219	1589.087	555.975
-1535.829	1945.005	148.356	-1513.995	2144.188	160.799	-1467.105	2037.190	152.548	-1555.746	1316.825	151.176	-1566.764	1115.296	146.982	-1503.492	1212.900	148.512	-1436.197	1562.400	338.409	-1594.305	1810.138	340.187	-1428.938	1689.365	337.538	-1612.766	1461.131	342.864	-2038.243	2167.426	161.403	-2065.278	1966.113	157.771	-2188.245	1983.082	155.546	-2161.766	2184.224	159.801	-2159.234	1150.763	155.350	-2259.879	1366.017	135.687	-2283.801	1163.860	149.451	-2136.739	1353.297	142.639	-2779.194	1997.915	154.225	-2843.250	2102.140	152.558	-2753.215	2235.143	243.189	-2800.873	1373.950	140.692	-2860.417	1277.275	146.283	-2806.652	1172.116	152.286	-2836.217	1696.599	376.365	-2911.327	1843.403	380.517	-2810.850	1935.222	380.615	-2922.015	1558.415	374.392	-2831.069	1456.594	370.814	-2150.367	1802.373	583.159	-2309.747	1676.907	591.790	-2006.702	1656.166	582.859	-1752.906	1544.567	538.269	-1741.247	1740.842	529.361	-1955.484	1772.254	533.539	-1968.765	1539.563	543.145	-2566.712	1785.127	560.147	-2363.472	1558.784	547.960	-2350.749	1791.914	550.193	-2577.122	1589.218	556.185
-1535.916	1945.019	148.485	-1514.120	2144.253	160.970	-1467.126	2037.241	152.763	-1555.774	1316.850	151.354	-1566.797	1115.317	147.052	-1503.504	1212.820	148.686	-1436.177	1562.406	338.610	-1594.337	1810.185	340.352	-1428.953	1689.300	337.575	-1612.781	1461.104	343.006	-2038.312	2167.554	161.645	-2065.313	1966.142	157.901	-2188.254	1983.150	155.661	-2161.838	2184.247	159.881	-2159.268	1150.877	155.559	-2259.941	1366.145	135.975	-2283.843	1163.921	149.602	-2136.769	1353.362	142.791	-2779.539	1998.113	154.377	-2842.948	2102.107	152.161	-2753.100	2235.127	243.218	-2801.120	1374.110	140.848	-2860.382	1277.217	146.201	-2806.568	1172.014	152.485	-2836.194	1696.657	376.370	-2911.256	1843.233	380.378	-2810.870	1935.100	380.584	-2921.994	1558.391	374.484	-2831.059	1456.600	370.941	-2150.385	1802.508	583.436	-2309.760	1676.911	591.920	-2006.801	1656.369	583.237	-1752.907	1544.581	538.320	-1741.278	1740.974	529.658	-1955.541	1772.355	533.692	-1968.802	1539.575	543.366	-2566.733	1785.142	560.209	-2363.520	1558.880	548.182	-2350.769	1791.978	550.470	-2577.102	1589.292	556.336
