NO_OF_FRAMES	1066
NO_OF_CAMERAS	10
NO_OF_MARKERS	40
FREQUENCY	72
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-08-30, 18:40:07	1350375.27588781
DATA_INCLUDED	3D
MARKER_NAMES	L5	L2	L3	L4	L1	E3	E1	E2	C4	C3	C2	C1	A3	A1	A2	B3	B1	B2	D2	D1	D4	D3	F1	F3	F2	H2	H1	H3	H4	K1	K4	K2	K3	J3	J2	J1	G2	G1	G3	G4
L5 X	L5 Y	L5 Z	L2 X	L2 Y	L2 Z	L3 X	L3 Y	L3 Z	L4 X	L4 Y	L4 Z	L1 X	L1 Y	L1 Z	E3 X	E3 Y	E3 Z	E1 X	E1 Y	E1 Z	E2 X	E2 Y	E2 Z	C4 X	C4 Y	C4 Z	C3 X	C3 Y	C3 Z	C2 X	C2 Y	C2 Z	C1 X	C1 Y	C1 Z	A3 X	A3 Y	A3 Z	A1 X	A1 Y	A1 Z	A2 X	A2 Y	A2 Z	B3 X	B3 Y	B3 Z	B1 X	B1 Y	B1 Z	B2 X	B2 Y	B2 Z	D2 X	D2 Y	D2 Z	D1 X	D1 Y	D1 Z	D4 X	D4 Y	D4 Z	D3 X	D3 Y	D3 Z	F1 X	F1 Y	F1 Z	F3 X	F3 Y	F3 Z	F2 X	F2 Y	F2 Z	H2 X	H2 Y	H2 Z	H1 X	H1 Y	H1 Z	H3 X	H3 Y	H3 Z	H4 X	H4 Y	H4 Z	K1 X	K1 Y	K1 Z	K4 X	K4 Y	K4 Z	K2 X	K2 Y	K2 Z	K3 X	K3 Y	K3 Z	J3 X	J3 Y	J3 Z	J2 X	J2 Y	J2 Z	J1 X	J1 Y	J1 Z	G2 X	G2 Y	G2 Z	G1 X	G1 Y	G1 Z	G3 X	G3 Y	G3 Z	G4 X	G4 Y	G4 Z	
-3029.266	-670.114	355.516	0.000	0.000	0.000	-3034.844	-430.871	360.539	-3116.247	-569.104	352.923	-3007.219	-192.821	361.175	-2962.194	-125.222	143.895	-2985.882	75.669	133.549	0.000	0.000	0.000	-2265.613	-155.309	139.975	-2390.703	-139.988	134.895	-2366.758	61.560	140.526	-2243.430	47.730	144.540	-1738.870	-164.889	129.485	-1722.300	34.849	141.528	-1672.818	-70.716	133.902	-1751.900	-991.991	126.966	-1742.363	-791.615	137.480	-1689.149	-893.905	131.041	-2444.860	-757.151	116.107	0.000	0.000	0.000	-2338.591	-968.886	140.995	-2466.171	-959.141	126.393	0.000	0.000	0.000	-3004.869	-951.373	139.062	0.000	0.000	0.000	-2153.885	-347.558	515.900	-1939.630	-373.660	512.088	-2162.305	-580.810	529.289	-1948.466	-570.147	518.500	-2546.482	-335.813	532.865	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.489	-448.872	571.691	-2350.314	-319.395	562.628	-2202.960	-460.989	564.622	-1625.883	-417.048	320.632	-1793.590	-301.654	322.402	-1630.221	-545.449	319.935	-1805.041	-649.584	324.167
-3029.287	-669.954	355.303	0.000	0.000	0.000	-3032.442	-430.604	357.192	-3116.129	-568.886	352.680	0.000	0.000	0.000	-2962.051	-125.214	143.970	-2985.906	75.707	133.477	0.000	0.000	0.000	-2265.550	-155.430	139.893	-2390.674	-139.979	134.813	-2366.788	61.598	140.597	-2243.451	47.792	144.562	-1738.868	-164.898	129.523	-1722.295	34.838	141.607	-1672.752	-70.751	134.008	-1751.896	-991.913	126.889	-1742.309	-791.565	137.623	-1689.124	-893.880	131.130	-2444.776	-757.011	115.923	0.000	0.000	0.000	-2338.635	-968.814	140.974	-2466.222	-959.120	126.199	0.000	0.000	0.000	-3005.007	-951.471	138.833	0.000	0.000	0.000	-2153.868	-347.528	515.960	-1939.618	-373.654	512.083	-2162.289	-580.883	529.312	-1948.405	-570.050	518.430	-2546.655	-335.715	533.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.662	-448.734	571.901	-2350.335	-319.275	562.527	-2202.975	-460.963	564.708	-1625.856	-417.055	320.625	-1793.559	-301.559	322.450	-1630.215	-545.476	320.069	-1805.043	-649.544	324.109
-3029.447	-669.879	355.456	0.000	0.000	0.000	-3034.642	-430.384	360.022	-3116.140	-568.880	352.505	0.000	0.000	0.000	-2961.801	-125.448	144.155	-2985.957	75.745	133.425	0.000	0.000	0.000	-2265.511	-155.494	139.893	-2390.648	-139.971	134.755	-2366.813	61.639	140.652	-2243.451	47.846	144.541	-1738.858	-164.927	129.581	-1722.340	34.913	141.654	-1672.723	-70.797	133.999	-1751.871	-992.020	126.797	-1742.426	-791.632	137.430	-1689.120	-893.814	131.224	-2444.695	-756.968	115.822	0.000	0.000	0.000	-2338.723	-968.884	140.932	-2465.787	-959.268	125.753	0.000	0.000	0.000	-3004.749	-951.693	139.127	0.000	0.000	0.000	-2153.901	-347.479	515.934	-1939.663	-373.690	512.103	-2162.224	-580.976	529.314	-1948.431	-570.073	518.432	-2546.831	-335.582	533.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.734	-448.433	572.054	-2350.333	-319.312	562.404	-2202.936	-461.076	564.737	-1625.892	-417.003	320.656	-1793.587	-301.439	322.484	-1630.193	-545.483	320.078	-1805.109	-649.485	324.010
-3029.338	-669.868	355.407	0.000	0.000	0.000	-3034.646	-430.468	359.837	-3116.084	-568.638	353.424	0.000	0.000	0.000	-2961.771	-125.345	144.190	-2985.944	75.868	133.419	0.000	0.000	0.000	-2265.501	-155.497	139.969	-2390.627	-139.976	134.731	-2366.832	61.680	140.692	-2243.420	47.882	144.464	-1738.843	-164.967	129.647	-1722.317	34.926	141.532	-1672.800	-70.714	133.905	-1751.931	-991.863	126.831	-1742.391	-791.655	137.469	-1689.213	-893.868	131.046	-2444.794	-756.958	115.917	0.000	0.000	0.000	-2338.716	-968.693	140.853	-2465.941	-959.274	125.829	0.000	0.000	0.000	-3005.127	-951.639	138.931	0.000	0.000	0.000	-2153.896	-347.466	515.859	-1939.669	-373.566	512.000	-2162.332	-580.908	529.197	-1948.435	-570.049	518.478	-2546.532	-335.547	532.858	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.728	-448.496	571.854	-2350.311	-319.274	562.501	-2202.850	-461.076	564.412	-1625.890	-416.975	320.562	-1793.595	-301.478	322.371	-1630.197	-545.432	319.988	-1805.069	-649.509	323.999
-3029.281	-670.025	355.438	0.000	0.000	0.000	-3032.438	-430.538	357.344	-3116.095	-569.009	352.713	0.000	0.000	0.000	-2961.950	-125.303	144.016	-2985.826	75.785	133.399	0.000	0.000	0.000	-2265.524	-155.430	140.115	-2390.613	-140.007	134.754	-2366.847	61.719	140.715	-2243.400	47.877	144.310	-1738.830	-165.009	129.707	-1722.304	34.888	141.395	-1672.812	-70.782	133.665	-1751.899	-991.839	126.792	-1742.421	-791.677	137.265	-1689.213	-893.893	130.907	-2444.832	-757.138	115.902	0.000	0.000	0.000	-2338.695	-968.713	140.799	-2466.017	-959.273	126.032	0.000	0.000	0.000	-3004.867	-951.571	138.883	0.000	0.000	0.000	-2153.854	-347.473	515.787	-1939.589	-373.618	511.904	-2162.309	-580.756	529.111	-1948.603	-570.487	519.450	-2546.370	-335.777	532.676	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.516	-448.657	571.601	-2350.269	-319.336	562.564	-2202.883	-460.961	564.106	-1625.864	-417.041	320.408	-1793.556	-301.563	322.306	-1630.211	-545.430	319.879	-1804.994	-649.608	324.086
-3029.140	-670.391	355.195	0.000	0.000	0.000	-3034.954	-430.925	360.561	-3116.146	-569.323	352.807	0.000	0.000	0.000	-2961.837	-125.555	144.128	-2985.884	75.416	133.294	0.000	0.000	0.000	-2265.583	-155.288	140.325	-2390.606	-140.076	134.835	-2366.857	61.752	140.722	-2243.397	47.887	144.250	-1738.823	-165.043	129.752	-1722.321	34.764	141.366	-1672.826	-70.837	133.661	-1751.823	-992.272	126.640	-1742.448	-791.812	137.206	-1689.237	-893.989	130.854	-2444.784	-757.371	115.879	0.000	0.000	0.000	-2338.669	-969.117	140.705	-2465.731	-959.709	125.764	0.000	0.000	0.000	-3004.994	-951.929	138.929	0.000	0.000	0.000	-2153.822	-347.708	515.690	-1939.564	-373.844	511.887	-2162.214	-581.068	528.964	-1948.615	-570.681	519.419	-2546.309	-336.061	532.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.514	-448.821	571.529	-2350.214	-319.648	562.477	-2202.794	-461.197	564.075	-1625.911	-417.123	320.373	-1793.593	-301.659	322.294	-1630.244	-545.483	319.862	-1805.076	-649.757	323.970
-3029.395	-670.330	355.368	0.000	0.000	0.000	-3032.405	-430.944	357.187	-3116.041	-569.402	352.630	0.000	0.000	0.000	-2961.717	-125.601	144.118	-2985.883	75.364	133.261	0.000	0.000	0.000	-2265.683	-155.065	140.593	-2390.609	-140.195	134.985	-2366.863	61.777	140.712	-2243.406	47.905	144.261	-1738.827	-165.058	129.767	-1722.298	34.743	141.509	-1672.732	-70.855	133.887	-1751.816	-992.293	126.681	-1742.458	-791.824	137.199	-1689.165	-893.921	131.096	-2444.723	-757.463	115.871	0.000	0.000	0.000	-2338.619	-969.323	140.745	-2465.743	-959.749	125.864	0.000	0.000	0.000	-3004.859	-951.909	138.923	0.000	0.000	0.000	-2153.815	-347.791	515.840	-1939.585	-373.911	512.039	-2162.162	-581.197	529.171	-1948.492	-570.312	518.351	-2546.331	-336.104	532.703	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.576	-449.038	571.808	-2350.263	-319.703	562.391	-2202.752	-461.236	564.302	-1625.860	-417.150	320.595	-1793.568	-301.720	322.450	-1630.237	-545.522	320.039	-1805.142	-649.762	323.953
-3029.348	-670.126	355.503	0.000	0.000	0.000	-3032.370	-430.777	357.364	-3116.122	-569.053	352.797	0.000	0.000	0.000	-2961.727	-125.237	144.067	-2985.839	75.684	133.596	0.000	0.000	0.000	-2265.828	-154.754	140.914	-2390.745	-140.013	135.188	-2366.864	61.792	140.685	-2243.423	47.924	144.322	-1738.848	-165.046	129.742	-1722.291	34.784	141.716	-1672.765	-70.774	134.149	-1751.960	-991.926	127.041	-1742.333	-791.683	137.603	-1689.159	-893.919	131.212	-2444.749	-757.131	116.066	0.000	0.000	0.000	-2338.729	-968.918	140.975	-2466.063	-959.355	126.120	0.000	0.000	0.000	-3004.832	-951.403	139.075	0.000	0.000	0.000	-2153.873	-347.620	516.000	-1939.589	-373.771	512.143	-2162.271	-580.901	529.379	-1948.471	-570.114	518.502	-2546.667	-335.722	533.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.632	-448.806	571.928	-2350.345	-319.433	562.620	-2202.943	-460.994	564.749	-1625.858	-417.096	320.756	-1793.537	-301.671	322.585	-1630.215	-545.531	320.097	-1805.093	-649.633	324.160
-3029.324	-669.939	355.447	0.000	0.000	0.000	-3032.425	-430.672	357.421	-3116.064	-568.828	352.673	0.000	0.000	0.000	-2961.894	-125.134	144.119	-2985.888	75.895	133.855	0.000	0.000	0.000	-2265.929	-154.557	140.901	-2390.796	-139.925	135.279	-2366.860	61.793	140.639	-2243.442	47.939	144.409	-1738.890	-164.997	129.664	-1722.340	34.853	141.716	-1672.793	-70.754	134.049	-1752.061	-991.758	127.173	-1742.328	-791.577	137.777	-1689.176	-893.872	131.142	-2444.960	-756.995	116.177	0.000	0.000	0.000	-2338.816	-968.645	141.061	-2466.213	-959.032	126.485	0.000	0.000	0.000	-3005.301	-951.356	138.955	0.000	0.000	0.000	-2153.934	-347.460	516.037	-1939.668	-373.605	512.166	-2162.418	-580.621	529.385	-1948.479	-570.026	518.524	-2546.849	-335.504	533.164	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.541	-448.659	571.808	-2350.442	-319.227	562.793	-2203.037	-460.850	564.614	-1625.895	-417.076	320.722	-1793.579	-301.561	322.481	-1630.200	-545.467	320.067	-1805.079	-649.541	324.282
-3029.105	-670.133	355.100	0.000	0.000	0.000	-3032.500	-430.452	357.347	-3116.046	-568.999	352.599	0.000	0.000	0.000	-2961.276	-125.526	144.297	-2985.817	75.699	133.199	0.000	0.000	0.000	-2266.011	-154.398	140.868	-2390.782	-139.907	135.283	-2366.853	61.778	140.575	-2243.458	47.943	144.501	-1738.895	-164.956	129.489	-1722.297	34.909	141.394	-1672.766	-70.718	133.724	-1751.845	-992.066	126.590	-1742.391	-791.667	137.200	-1689.217	-893.849	130.875	-2444.629	-757.109	115.781	0.000	0.000	0.000	-2338.682	-968.975	140.677	-2465.709	-959.548	125.657	0.000	0.000	0.000	-3004.794	-951.707	138.803	0.000	0.000	0.000	-2153.859	-347.520	515.705	-1939.611	-373.665	511.914	-2162.245	-580.946	529.043	-1948.556	-570.521	519.411	-2546.414	-335.712	532.614	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.591	-448.485	571.688	-2350.178	-319.425	562.348	-2202.901	-461.018	564.193	-1625.858	-416.993	320.415	-1793.586	-301.522	322.288	-1630.173	-545.433	319.910	-1805.067	-649.585	323.895
